sentiment_score,sentence_index,sentence,article_index
0.39769411087036133,1,Aunque no queramos admitirlo las nuevas plagas que están apareciendo en los cultivos de esta zona son producto del cambio de clima que se ha venido registrando aseguró Fidel Gutiérrez Gaxiola,1
0.780066728591919,2,La aparición en primera instancia del Piojo Harinoso en el algodonero y ahora el Pulgón Amarillo en el sorgo está demandando que los productores conjuntamente con las autoridades de sanidad estén alerta para evitar su establecimiento en esta región agregó el impulsor del cultivo del sorgo,1
0.39978358149528503,3,Hizo mención que los vientos huracanados que se registraron en agosto y la consecuente humedad que trajeron pudieron ser los causantes de la llegada del Pulgón que ahora está devastando al sorgo de una forma generalizada en todo el valle,1
0.6026647686958313,4,El técnico en maíz y sorgo recordó que hace dos años se presentó la plaga conocida como el Piojo Harinoso la cual hizo su presencia en la etapa final del cultivo haciendo esto que no causara graves daños aunado eso a los trabajos de erradicación que recomendaron las autoridades de Sagarpa en su momento como también las de Sanidad Vegetal,1
0.5784839987754822,5,Lo grave del caso es que ya están presentes en esta zona y que ahora lo que se tiene que hacer es buscar que no se establezcan por lo agresivas que son,1
0.75,6,Aunque los órganos oficiales como el Instituto Nacional de Investigaciones Forestales Agrícolas y Pecuarias Inifap como también la Junta de Sanidad Vegetal no han dicho nada respecto a cómo llegaron estas plagas lo más lógico es que hayan sido por los vientos atípicos que se presentaron estimó el agrónomo,1
0.4922500550746918,7,Gutiérrez Gaxiola citó que el Pulgón Amarillo es una plaga que donde llega prácticamente destroza a todo el cultivo pues se miró primeramente en Tamaulipas donde en dos años los productores no pudieron combatirlo,1
0.692307710647583,8,Luego apareció en Guanajuato donde ocurrió lo mismo y enseguida en Sinaloa donde afectó a la poca superficie que estaba sembrada revelo el especialista en granos,1
0.5930142998695374,9,Es una plaga de clima húmedo tal como el que prevalece en la región sur del Valle de San Luis razón por la que es la zona donde apareció primero y donde ha causado mayores estragos hasta ahora dijo,1
0.4898834228515625,10,Publicamos la información más relevante veraz y oportuna para impactar a la sociedad de manera positiva en la toma de decisiones y para trascender en el avance de la comunidad y sus valores,1
0.5461889505386353,11,A fin de revertir los efectos del cambio climático la Asociación Civil Pro Conservación de la Naturaleza Pronatura viene llevando a cabo el programa Adopta el Río el cual consiste en que ciudadanos se responsabilicen de una determinada superficie del Río Colorado completamente reforestada,2
0.556699275970459,12,Para llevar a cabo este programa el organismo que nació en 1981viene comprando derechos normales de agua de productores de la región Sur del Valle de Mexicali que le permitan regar las áreas que ya tiene reforestadas como la que se ubica en el lecho del Río Colorado a la altura de la colonia Camacho,2
